open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_20_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell,call_prices,put_prices
385.45,385.45,385.39,385.39,2505.0,385.4002,2023-01-03 11:13:00+00:00,10,2023-01-03,11:13:00,385.6145353466321,385.7526337250038,385.8548810001082,0.0940256730225044,386.2309836921982,385.4787783080182,385.5,-0.0285343709468258,-0.0059604289875275,False,True,True,False,False,False,2.39,0.0
385.61,385.61,385.53,385.53,641.0,385.578,2023-01-03 11:29:00+00:00,7,2023-01-03,11:29:00,385.5393415498124,385.53897028837855,385.5880030466563,0.0732344716711405,385.88094093334087,385.2950651599717,385.58,-0.0129674775662667,-0.0041455477452724,False,False,False,True,False,False,2.2705,0.0
385.2,385.2,384.69,384.69,8880.0,384.8121,2023-01-03 11:43:00+00:00,76,2023-01-03,11:43:00,385.1924994580434,385.3465141508701,385.4570289972184,0.1079675691909482,385.8888992739822,385.0251587204546,385.28,-0.1531353820597941,-0.0098602480351937,False,True,True,False,False,False,2.35,0.0
383.63,383.8,383.63,383.8,5388.0,383.7286,2023-01-03 12:16:00+00:00,42,2023-01-03,12:16:00,383.6579197744851,383.6270490765319,383.72462278118456,0.1561263523965117,384.3491281907706,383.1001173715985,383.64,0.0417057658221314,-0.0050725703811043,False,True,False,True,False,False,2.68,0.0
384.13,384.13,383.59,383.96,329484.0,383.8307,2023-01-03 14:31:00+00:00,2728,2023-01-03,14:31:00,384.2480337973567,384.44322620455495,384.605950784234,0.2253410660690059,385.50731504851,383.7045865199579,384.13,-0.0442558508838195,-0.0115692982469889,False,True,True,False,False,False,2.41,0.0
384.16,385.08,384.15,385.07,370878.0,384.6419,2023-01-03 14:33:00+00:00,3584,2023-01-03,14:33:00,384.50123724326966,384.5142340708177,384.61124542654983,0.2717203121272799,385.698126675059,383.5243641780407,384.1545,0.2383155735517893,0.0010605577669897,False,False,False,True,False,False,2.2895,0.0
382.19,382.19,382.0,382.0,20692.0,382.0228,2023-01-04 12:07:00+00:00,65,2023-01-04,12:07:00,382.1537793816206,382.2767254157341,382.3957782941461,0.0960218557288148,382.7798657170614,382.0116908712308,382.19,-0.0497134932886778,-0.0083650687867124,False,True,True,False,False,False,6.46,0.0
381.98,382.09,381.98,382.07,4824.0,382.0288,2023-01-04 12:33:00+00:00,49,2023-01-04,12:33:00,381.9939568990597,381.9787920804416,382.0215902242784,0.0925192340810567,382.39166716060265,381.65151328795423,381.98,0.0235614430074807,-0.0013053605560229,False,False,False,True,False,False,6.137,0.0
384.54,384.71,384.54,384.71,12368.0,384.6988,2023-01-05 11:54:00+00:00,49,2023-01-05,11:54:00,384.47452996433776,384.3958973784326,384.3451647115435,0.0835576000362569,384.6793951116885,384.0109343113984,384.38,0.0858525417555502,0.0059849959940866,True,False,False,False,True,False,0.0,8.64
384.49,384.49,384.38,384.38,1678.0,384.4145,2023-01-05 11:58:00+00:00,14,2023-01-05,11:58:00,384.4855861657952,384.4585289734236,384.40278510689,0.0885836874645287,384.75711985674815,384.04845035703187,384.5,-0.0312093628088438,0.0010441921752079,False,False,False,False,False,True,0.0,8.64
